species,palmitic acid,stearic acid ,Oleic Acid ,Linoleic acid ,alpha-linoleic acid ,arachidic acid ,EPA ,DHA,gamma-linoleic acid,stearidonic acid,nervonic acid
Pedaliaceae,9.331578947,5.333157895,26.015,43.2375,0.23,0.529090909,nm,nm,nm,nm,0
Bignoniaceae,14.9,5.4,nm,nm,2.4,0.74,nm,nm,nm,nm,nm
Verbenaceae,36.3,5.17,nm,nm,nm,0,nm,nm,nm,nm,nm
Lamiaceae,12.11614679,4.951619048,19.80549451,22.79263889,22.12093333,0.677668889,nm,nm,0.197619048,nm,nm
Orobanchaceae,5.387037037,1.607222222,45.0037037,nm,0.55,0.151851852,nm,nm,nm,nm,nm
Grossulariaceae,11.555,2.2225,17.45,41,21.1525,1.26,nm,nm,4.166666667,3.1,nm
Crassulaceae,0.39,0.03,nm,nm,nm,0,nm,nm,nm,nm,nm
Haloragaceae,25.6,1.2,nm,nm,nm,0,nm,nm,nm,nm,nm
Vitaceae,10.82272727,2.405,nm,nm,nm,0.124090909,nm,nm,nm,nm,nm
Geraniaceae,51.66666667,5.666666667,3.666666667,nm,nm,nm,nm,nm,nm,nm,nm
Onagraceae,17.41666667,2.816666667,7.13,75.49,27.4,3.205,nm,nm,7.64,nm,nm
Lythraceae,9.109133333,2.125401333,5.215,56.88,0.17,2.289113924,nm,nm,nm,nm,0
Myrtaceae,12.57,0.95,4.61,nm,37.53,1.16,nm,nm,0,nm,nm
Salvadoraceae,11.77,1.315,5.43,nm,70.93,0,nm,nm,nm,nm,nm
Brassicaceae,12.06869725,4.721464286,20.74569231,12.21586957,5.812043478,1.114541026,nm,nm,nm,nm,0.365
Capparaceae,7.85,1.41,13.91,14.4,0,0,nm,nm,nm,nm,0
Cistaceae,22.025,5.406666667,0.95,nm,4.56,5.4734,nm,nm,12.63,nm,nm
Malvaceae,22.20925,3.252875,15.13987952,48.79857143,4.213805556,0.4163,nm,nm,nm,nm,nm
Sterculiaceae,43.2,43.2,nm,nm,nm,nm,nm,,nm,nm,nm
Tiliaceae,9.690769231,1.636153846,18.26769231,13.6,55.8,0.221538462,nm,nm,nm,nm,nm
Bixaceae,25.98,2.91,19.96,24.11,6.98,6.67,nm,nm,0,nm,nm
Bombacaceae,15.5,3.12,24.69,19.11,1.58,0.74,nm,nm,0.39,nm,nm
Anacardiaceae,10.345625,2.99875,nm,nm,nm,0.273125,nm,nm,nm,nm,nm
Burseraceae,16.8,21.4,29.4,28.75,0.7,0.25,nm,nm,nm,nm,0
Sapindaceae,7.065757576,2.713030303,19.06045455,35.94863636,4.405606061,0.239545455,nm,nm,2.945,0.057894737,6.496818182
Meliaceae,22.20925,3.252875,15.1398795,48.7985714,4.21380556,0.4163,nm,nm,nm,nm,nm
Rutaceae,18.60923077,3.548461538,14.507,25.18,25.594,1.162,nm,0,nm,nm,0
Zygophyllaceae,37.19,8.795,31.26,54.9,0.76,0.82,nm,nm,nm,nm,0
Irvingiaceae,40.3,26.8,nm,nm,nm,nm,nm,nm,nm,nm,nm
Clusiaceae,17.805,30.43,40.735,2.63,0.0975,0.25,nm,nm,nm,nm,nm
Ochnaceae,29.05,1.93,13.23,30.9,0.23,nm,0.76,nm,2.02,2.02,1.93
Violaceae,18.84,2.13,nm,nm,31.19,0.58,nm,nm,nm,nm,nm
Passifloraceae,14.475,5.07,22.775,56.955,0.17,0.43,nm,nm,nm,nm,nm
Euphorbiaceae,14.77023438,8.113203125,41.86,25.24,9.402,0.39377377,nm,28.21,nm,nm,42.78
